"infant_mortality","flu_activity","dengue_activity","year","country"
17.1,,,2002,Argentina
53.7,,0.101,2002,Bolivia
24.3,174,0.073,2002,Brazil
19.3,,,2002,Mexico
16.6,201,0.027,2003,Argentina
16.6,192,0.027,2003,Argentina
16.6,224,0.027,2003,Argentina
16.6,210,0.027,2003,Argentina
16.6,204,0.027,2003,Argentina
16.6,213,0.027,2003,Argentina
16.6,217,0.027,2003,Argentina
16.6,205,0.027,2003,Argentina
16.6,174,0.027,2003,Argentina
16.6,178,0.027,2003,Argentina
16.6,178,0.027,2003,Argentina
16.6,184,0.027,2003,Argentina
16.6,166,0.027,2003,Argentina
16.6,100,0.027,2003,Argentina
16.6,149,0.027,2003,Argentina
16.6,133,0.027,2003,Argentina
16.6,123,0.027,2003,Argentina
16.6,121,0.027,2003,Argentina
16.6,109,0.027,2003,Argentina
16.6,103,0.027,2003,Argentina
16.6,225,0.027,2003,Argentina
16.6,232,0.027,2003,Argentina
16.6,241,0.027,2003,Argentina
16.6,239,0.027,2003,Argentina
16.6,209,0.027,2003,Argentina
16.6,186,0.027,2003,Argentina
16.6,193,0.027,2003,Argentina
16.6,187,0.027,2003,Argentina
16.6,158,0.027,2003,Argentina
16.6,153,0.027,2003,Argentina
16.6,258,0.027,2003,Argentina
16.6,134,0.027,2003,Argentina
16.6,136,0.027,2003,Argentina
16.6,134,0.027,2003,Argentina
16.6,135,0.027,2003,Argentina
16.6,141,0.027,2003,Argentina
16.6,145,0.027,2003,Argentina
16.6,136,0.027,2003,Argentina
16.6,,0.027,2003,Argentina
16.6,,0.027,2003,Argentina
16.6,,0.027,2003,Argentina
16.6,,0.027,2003,Argentina
16.6,278,0.027,2003,Argentina
16.6,348,0.027,2003,Argentina
16.6,325,0.027,2003,Argentina
16.6,307,0.027,2003,Argentina
16.6,239,0.027,2003,Argentina
16.6,229,0.027,2003,Argentina
16.6,235,0.027,2003,Argentina
16.6,261,0.027,2003,Argentina
16.6,253,0.027,2003,Argentina
16.6,251,0.027,2003,Argentina
16.6,201,0.029,2003,Argentina
16.6,192,0.029,2003,Argentina
16.6,224,0.029,2003,Argentina
16.6,210,0.029,2003,Argentina
16.6,204,0.029,2003,Argentina
16.6,213,0.029,2003,Argentina
16.6,217,0.029,2003,Argentina
16.6,205,0.029,2003,Argentina
16.6,174,0.029,2003,Argentina
16.6,178,0.029,2003,Argentina
16.6,178,0.029,2003,Argentina
16.6,184,0.029,2003,Argentina
16.6,166,0.029,2003,Argentina
16.6,100,0.029,2003,Argentina
16.6,149,0.029,2003,Argentina
16.6,133,0.029,2003,Argentina
16.6,123,0.029,2003,Argentina
16.6,121,0.029,2003,Argentina
16.6,109,0.029,2003,Argentina
16.6,103,0.029,2003,Argentina
16.6,225,0.029,2003,Argentina
16.6,232,0.029,2003,Argentina
16.6,241,0.029,2003,Argentina
16.6,239,0.029,2003,Argentina
16.6,209,0.029,2003,Argentina
16.6,186,0.029,2003,Argentina
16.6,193,0.029,2003,Argentina
16.6,187,0.029,2003,Argentina
16.6,158,0.029,2003,Argentina
16.6,153,0.029,2003,Argentina
16.6,258,0.029,2003,Argentina
16.6,134,0.029,2003,Argentina
16.6,136,0.029,2003,Argentina
16.6,134,0.029,2003,Argentina
16.6,135,0.029,2003,Argentina
16.6,141,0.029,2003,Argentina
16.6,145,0.029,2003,Argentina
16.6,136,0.029,2003,Argentina
16.6,,0.029,2003,Argentina
16.6,,0.029,2003,Argentina
16.6,,0.029,2003,Argentina
16.6,,0.029,2003,Argentina
16.6,278,0.029,2003,Argentina
16.6,348,0.029,2003,Argentina
16.6,325,0.029,2003,Argentina
16.6,307,0.029,2003,Argentina
16.6,239,0.029,2003,Argentina
16.6,229,0.029,2003,Argentina
16.6,235,0.029,2003,Argentina
16.6,261,0.029,2003,Argentina
16.6,253,0.029,2003,Argentina
16.6,251,0.029,2003,Argentina
16.6,201,0.024,2003,Argentina
16.6,192,0.024,2003,Argentina
16.6,224,0.024,2003,Argentina
16.6,210,0.024,2003,Argentina
16.6,204,0.024,2003,Argentina
16.6,213,0.024,2003,Argentina
16.6,217,0.024,2003,Argentina
16.6,205,0.024,2003,Argentina
16.6,174,0.024,2003,Argentina
16.6,178,0.024,2003,Argentina
16.6,178,0.024,2003,Argentina
16.6,184,0.024,2003,Argentina
16.6,166,0.024,2003,Argentina
16.6,100,0.024,2003,Argentina
16.6,149,0.024,2003,Argentina
16.6,133,0.024,2003,Argentina
16.6,123,0.024,2003,Argentina
16.6,121,0.024,2003,Argentina
16.6,109,0.024,2003,Argentina
16.6,103,0.024,2003,Argentina
16.6,225,0.024,2003,Argentina
16.6,232,0.024,2003,Argentina
16.6,241,0.024,2003,Argentina
16.6,239,0.024,2003,Argentina
16.6,209,0.024,2003,Argentina
16.6,186,0.024,2003,Argentina
16.6,193,0.024,2003,Argentina
16.6,187,0.024,2003,Argentina
16.6,158,0.024,2003,Argentina
16.6,153,0.024,2003,Argentina
16.6,258,0.024,2003,Argentina
16.6,134,0.024,2003,Argentina
16.6,136,0.024,2003,Argentina
16.6,134,0.024,2003,Argentina
16.6,135,0.024,2003,Argentina
16.6,141,0.024,2003,Argentina
16.6,145,0.024,2003,Argentina
16.6,136,0.024,2003,Argentina
16.6,,0.024,2003,Argentina
16.6,,0.024,2003,Argentina
16.6,,0.024,2003,Argentina
16.6,,0.024,2003,Argentina
16.6,278,0.024,2003,Argentina
16.6,348,0.024,2003,Argentina
16.6,325,0.024,2003,Argentina
16.6,307,0.024,2003,Argentina
16.6,239,0.024,2003,Argentina
16.6,229,0.024,2003,Argentina
16.6,235,0.024,2003,Argentina
16.6,261,0.024,2003,Argentina
16.6,253,0.024,2003,Argentina
16.6,251,0.024,2003,Argentina
16.6,201,0.022,2003,Argentina
16.6,192,0.022,2003,Argentina
16.6,224,0.022,2003,Argentina
16.6,210,0.022,2003,Argentina
16.6,204,0.022,2003,Argentina
16.6,213,0.022,2003,Argentina
16.6,217,0.022,2003,Argentina
16.6,205,0.022,2003,Argentina
16.6,174,0.022,2003,Argentina
16.6,178,0.022,2003,Argentina
16.6,178,0.022,2003,Argentina
16.6,184,0.022,2003,Argentina
16.6,166,0.022,2003,Argentina
16.6,100,0.022,2003,Argentina
16.6,149,0.022,2003,Argentina
16.6,133,0.022,2003,Argentina
16.6,123,0.022,2003,Argentina
16.6,121,0.022,2003,Argentina
16.6,109,0.022,2003,Argentina
16.6,103,0.022,2003,Argentina
16.6,225,0.022,2003,Argentina
16.6,232,0.022,2003,Argentina
16.6,241,0.022,2003,Argentina
16.6,239,0.022,2003,Argentina
16.6,209,0.022,2003,Argentina
16.6,186,0.022,2003,Argentina
16.6,193,0.022,2003,Argentina
16.6,187,0.022,2003,Argentina
16.6,158,0.022,2003,Argentina
16.6,153,0.022,2003,Argentina
16.6,258,0.022,2003,Argentina
16.6,134,0.022,2003,Argentina
16.6,136,0.022,2003,Argentina
16.6,134,0.022,2003,Argentina
16.6,135,0.022,2003,Argentina
16.6,141,0.022,2003,Argentina
16.6,145,0.022,2003,Argentina
16.6,136,0.022,2003,Argentina
16.6,,0.022,2003,Argentina
16.6,,0.022,2003,Argentina
16.6,,0.022,2003,Argentina
16.6,,0.022,2003,Argentina
16.6,278,0.022,2003,Argentina
16.6,348,0.022,2003,Argentina
16.6,325,0.022,2003,Argentina
16.6,307,0.022,2003,Argentina
16.6,239,0.022,2003,Argentina
16.6,229,0.022,2003,Argentina
16.6,235,0.022,2003,Argentina
16.6,261,0.022,2003,Argentina
16.6,253,0.022,2003,Argentina
16.6,251,0.022,2003,Argentina
16.6,201,0.019,2003,Argentina
16.6,192,0.019,2003,Argentina
16.6,224,0.019,2003,Argentina
16.6,210,0.019,2003,Argentina
16.6,204,0.019,2003,Argentina
16.6,213,0.019,2003,Argentina
16.6,217,0.019,2003,Argentina
16.6,205,0.019,2003,Argentina
16.6,174,0.019,2003,Argentina
16.6,178,0.019,2003,Argentina
16.6,178,0.019,2003,Argentina
16.6,184,0.019,2003,Argentina
16.6,166,0.019,2003,Argentina
16.6,100,0.019,2003,Argentina
16.6,149,0.019,2003,Argentina
16.6,133,0.019,2003,Argentina
16.6,123,0.019,2003,Argentina
16.6,121,0.019,2003,Argentina
16.6,109,0.019,2003,Argentina
16.6,103,0.019,2003,Argentina
16.6,225,0.019,2003,Argentina
16.6,232,0.019,2003,Argentina
16.6,241,0.019,2003,Argentina
16.6,239,0.019,2003,Argentina
16.6,209,0.019,2003,Argentina
16.6,186,0.019,2003,Argentina
16.6,193,0.019,2003,Argentina
16.6,187,0.019,2003,Argentina
16.6,158,0.019,2003,Argentina
16.6,153,0.019,2003,Argentina
16.6,258,0.019,2003,Argentina
16.6,134,0.019,2003,Argentina
16.6,136,0.019,2003,Argentina
16.6,134,0.019,2003,Argentina
16.6,135,0.019,2003,Argentina
16.6,141,0.019,2003,Argentina
16.6,145,0.019,2003,Argentina
16.6,136,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,278,0.019,2003,Argentina
16.6,348,0.019,2003,Argentina
16.6,325,0.019,2003,Argentina
16.6,307,0.019,2003,Argentina
16.6,239,0.019,2003,Argentina
16.6,229,0.019,2003,Argentina
16.6,235,0.019,2003,Argentina
16.6,261,0.019,2003,Argentina
16.6,253,0.019,2003,Argentina
16.6,251,0.019,2003,Argentina
16.6,201,0.019,2003,Argentina
16.6,192,0.019,2003,Argentina
16.6,224,0.019,2003,Argentina
16.6,210,0.019,2003,Argentina
16.6,204,0.019,2003,Argentina
16.6,213,0.019,2003,Argentina
16.6,217,0.019,2003,Argentina
16.6,205,0.019,2003,Argentina
16.6,174,0.019,2003,Argentina
16.6,178,0.019,2003,Argentina
16.6,178,0.019,2003,Argentina
16.6,184,0.019,2003,Argentina
16.6,166,0.019,2003,Argentina
16.6,100,0.019,2003,Argentina
16.6,149,0.019,2003,Argentina
16.6,133,0.019,2003,Argentina
16.6,123,0.019,2003,Argentina
16.6,121,0.019,2003,Argentina
16.6,109,0.019,2003,Argentina
16.6,103,0.019,2003,Argentina
16.6,225,0.019,2003,Argentina
16.6,232,0.019,2003,Argentina
16.6,241,0.019,2003,Argentina
16.6,239,0.019,2003,Argentina
16.6,209,0.019,2003,Argentina
16.6,186,0.019,2003,Argentina
16.6,193,0.019,2003,Argentina
16.6,187,0.019,2003,Argentina
16.6,158,0.019,2003,Argentina
16.6,153,0.019,2003,Argentina
16.6,258,0.019,2003,Argentina
16.6,134,0.019,2003,Argentina
16.6,136,0.019,2003,Argentina
16.6,134,0.019,2003,Argentina
16.6,135,0.019,2003,Argentina
16.6,141,0.019,2003,Argentina
16.6,145,0.019,2003,Argentina
16.6,136,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,278,0.019,2003,Argentina
16.6,348,0.019,2003,Argentina
16.6,325,0.019,2003,Argentina
16.6,307,0.019,2003,Argentina
16.6,239,0.019,2003,Argentina
16.6,229,0.019,2003,Argentina
16.6,235,0.019,2003,Argentina
16.6,261,0.019,2003,Argentina
16.6,253,0.019,2003,Argentina
16.6,251,0.019,2003,Argentina
16.6,201,0.019,2003,Argentina
16.6,192,0.019,2003,Argentina
16.6,224,0.019,2003,Argentina
16.6,210,0.019,2003,Argentina
16.6,204,0.019,2003,Argentina
16.6,213,0.019,2003,Argentina
16.6,217,0.019,2003,Argentina
16.6,205,0.019,2003,Argentina
16.6,174,0.019,2003,Argentina
16.6,178,0.019,2003,Argentina
16.6,178,0.019,2003,Argentina
16.6,184,0.019,2003,Argentina
16.6,166,0.019,2003,Argentina
16.6,100,0.019,2003,Argentina
16.6,149,0.019,2003,Argentina
16.6,133,0.019,2003,Argentina
16.6,123,0.019,2003,Argentina
16.6,121,0.019,2003,Argentina
16.6,109,0.019,2003,Argentina
16.6,103,0.019,2003,Argentina
16.6,225,0.019,2003,Argentina
16.6,232,0.019,2003,Argentina
16.6,241,0.019,2003,Argentina
16.6,239,0.019,2003,Argentina
16.6,209,0.019,2003,Argentina
16.6,186,0.019,2003,Argentina
16.6,193,0.019,2003,Argentina
16.6,187,0.019,2003,Argentina
16.6,158,0.019,2003,Argentina
16.6,153,0.019,2003,Argentina
16.6,258,0.019,2003,Argentina
16.6,134,0.019,2003,Argentina
16.6,136,0.019,2003,Argentina
16.6,134,0.019,2003,Argentina
16.6,135,0.019,2003,Argentina
16.6,141,0.019,2003,Argentina
16.6,145,0.019,2003,Argentina
16.6,136,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,278,0.019,2003,Argentina
16.6,348,0.019,2003,Argentina
16.6,325,0.019,2003,Argentina
16.6,307,0.019,2003,Argentina
16.6,239,0.019,2003,Argentina
16.6,229,0.019,2003,Argentina
16.6,235,0.019,2003,Argentina
16.6,261,0.019,2003,Argentina
16.6,253,0.019,2003,Argentina
16.6,251,0.019,2003,Argentina
16.6,201,0.019,2003,Argentina
16.6,192,0.019,2003,Argentina
16.6,224,0.019,2003,Argentina
16.6,210,0.019,2003,Argentina
16.6,204,0.019,2003,Argentina
16.6,213,0.019,2003,Argentina
16.6,217,0.019,2003,Argentina
16.6,205,0.019,2003,Argentina
16.6,174,0.019,2003,Argentina
16.6,178,0.019,2003,Argentina
16.6,178,0.019,2003,Argentina
16.6,184,0.019,2003,Argentina
16.6,166,0.019,2003,Argentina
16.6,100,0.019,2003,Argentina
16.6,149,0.019,2003,Argentina
16.6,133,0.019,2003,Argentina
16.6,123,0.019,2003,Argentina
16.6,121,0.019,2003,Argentina
16.6,109,0.019,2003,Argentina
16.6,103,0.019,2003,Argentina
16.6,225,0.019,2003,Argentina
16.6,232,0.019,2003,Argentina
16.6,241,0.019,2003,Argentina
16.6,239,0.019,2003,Argentina
16.6,209,0.019,2003,Argentina
16.6,186,0.019,2003,Argentina
16.6,193,0.019,2003,Argentina
16.6,187,0.019,2003,Argentina
16.6,158,0.019,2003,Argentina
16.6,153,0.019,2003,Argentina
16.6,258,0.019,2003,Argentina
16.6,134,0.019,2003,Argentina
16.6,136,0.019,2003,Argentina
16.6,134,0.019,2003,Argentina
16.6,135,0.019,2003,Argentina
16.6,141,0.019,2003,Argentina
16.6,145,0.019,2003,Argentina
16.6,136,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,,0.019,2003,Argentina
16.6,278,0.019,2003,Argentina
16.6,348,0.019,2003,Argentina
16.6,325,0.019,2003,Argentina
16.6,307,0.019,2003,Argentina
16.6,239,0.019,2003,Argentina
16.6,229,0.019,2003,Argentina
16.6,235,0.019,2003,Argentina
16.6,261,0.019,2003,Argentina
16.6,253,0.019,2003,Argentina
16.6,251,0.019,2003,Argentina
16.6,201,0.019,2003,Argentina
16.6,192,0.019,2003,Argentina
16.6,224,0.019,2003,Argentina
16.6,210,0.019,2003,Argentina
16.6,204,0.019,2003,Argentina
16.6,213,0.019,2003,Argentina
